Tasting_Score,Price,Region,Wine_Name,Winery,Grape_Variety
88,15.0,Margaret River,Franklin Tate 2014 Tate Chardonnay (Margaret River),Franklin Tate,Chardonnay
91,20.0,Great Southern,Plantagenet 2008 Omrah Shiraz (Great Southern),Plantagenet,Shiraz
90,20.0,Margaret River,Robert Oatley 2014 Chardonnay (Margaret River),Robert Oatley,Chardonnay
87,20.0,Western Australia,Strait Jacket 2007 Chardonnay (Western Australia),Strait Jacket,Chardonnay
87,18.0,Western Australia,Frankland Estate 2001 Isolation Ridge Vineyard Riesling (Western Australia),Frankland Estate,Riesling
91,25.0,Frankland River,Frankland Estate 2013 Rocky Gully Shiraz (Frankland River),Frankland Estate,Shiraz
91,40.0,Frankland River,Frankland Estate 2014 Isolation Ridge Vineyard Riesling (Frankland River),Frankland Estate,Riesling
94,89.0,Margaret River,Leeuwin Estate 2012 Art Series Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
91,35.0,Frankland River,Frankland Estate 2014 Netley Road Vineyard Riesling (Frankland River),Frankland Estate,Riesling
90,20.0,Margaret River,Juniper 2005 Crossing Shiraz (Margaret River),Juniper,Shiraz
89,36.0,Margaret River,Leeuwin Estate 2007 Prelude Vineyards Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
89,20.0,Margaret River,Robert Oatley 2016 Signature Series Chardonnay (Margaret River),Robert Oatley,Chardonnay
86,22.0,Margaret River,Celestial Bay 2005 Cabernet Sauvignon (Margaret River),Celestial Bay,Cabernet Sauvignon
86,16.0,Margaret River,Cape Mentelle 2007 Sauvignon Blanc-Semillon (Margaret River),Cape Mentelle,Sauvignon Blanc-Semillon
86,36.0,Pemberton,Salitage 2005 Pinot Noir (Pemberton),Salitage,Pinot Noir
87,17.0,Western Australia,Sandalford 2001 Riesling (Western Australia),Sandalford,Riesling
87,30.0,Western Australia,Vasse Felix 2000 Heytesbury Chardonnay (Western Australia),Vasse Felix,Chardonnay
88,25.0,Margaret River,Cape Mentelle 2006 Chardonnay (Margaret River),Cape Mentelle,Chardonnay
90,21.0,Margaret River,Vasse River 2005 Shiraz (Margaret River),Vasse River,Shiraz
90,13.0,Western Australia,Plantagenet 2006 Hazard Hill Shiraz (Western Australia),Plantagenet,Shiraz
88,15.0,Margaret River,Kiss Chasey 2008 Shiraz (Margaret River),Kiss Chasey,Shiraz
87,38.0,Margaret River,Merops 2005 Ornatus Red (Margaret River),Merops,Bordeaux-style Red Blend
88,14.0,Western Australia,Element 2001 Shiraz-Cabernet Sauvignon (Western Australia),Element,Shiraz-Cabernet Sauvignon
88,21.0,Western Australia,Sandalford 2001 Chardonnay (Western Australia),Sandalford,Chardonnay
87,45.0,Western Australia,Killerby 2000 Chardonnay (Western Australia),Killerby,Chardonnay
95,84.0,Margaret River,Moss Wood 2011 Cabernet Sauvignon (Margaret River),Moss Wood,Cabernet Sauvignon
91,30.0,Margaret River,Robert Oatley 2014 Finisterre Chardonnay (Margaret River),Robert Oatley,Chardonnay
91,20.0,Margaret River,Robert Oatley 2015 Chardonnay (Margaret River),Robert Oatley,Chardonnay
88,23.0,Margaret River,Howard Park 2015 Miamup Sauvignon Blanc-Semillon (Margaret River),Howard Park,Sauvignon Blanc-Semillon
